"","district","indicator","value","category","unit","source1","source2"
"11","Attock","Amount Withdrawn",1008.806,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"12","Attock","Share Of Actual To Eligible Beneficiaries",84.4753039320413,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"13","Attock","Eligible Beneficiaries Relative To District Population",24.4470707235681,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"14","Attock","Actual Beneficiaries Relative To District Population",20.6517372962152,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"15","Awaran","No Of Eligible Beneficiaries",10984,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"16","Awaran","Amount Deposited In Accounts",131.808,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"17","Awaran","No Of Beneficiaries Paid",9160,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"18","Awaran","Amount Withdrawn",115.16575,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"19","Awaran","Share Of Actual To Eligible Beneficiaries",83.3940276766205,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"20","Awaran","Eligible Beneficiaries Relative To District Population",45.7740821603091,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"21","Awaran","Actual Beneficiaries Relative To District Population",38.1728507454872,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"22","Badin","No Of Eligible Beneficiaries",307595,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"23","Badin","Amount Deposited In Accounts",3691.14,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"24","Badin","No Of Beneficiaries Paid",286819,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"25","Badin","Amount Withdrawn",3454.278,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"26","Badin","Share Of Actual To Eligible Beneficiaries",93.2456639412214,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"27","Badin","Eligible Beneficiaries Relative To District Population",65.5609414368693,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"28","Badin","Actual Beneficiaries Relative To District Population",61.1327351289242,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"29","Bahawalnagar","No Of Eligible Beneficiaries",215018,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"30","Bahawalnagar","Amount Deposited In Accounts",2580.216,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"31","Bahawalnagar","No Of Beneficiaries Paid",187346,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"32","Bahawalnagar","Amount Withdrawn",2266.36975,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"33","Bahawalnagar","Share Of Actual To Eligible Beneficiaries",87.1303797821578,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"34","Bahawalnagar","Eligible Beneficiaries Relative To District Population",34.1677463473775,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"35","Bahawalnagar","Actual Beneficiaries Relative To District Population",29.7704871554744,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"36","Bahawalpur","No Of Eligible Beneficiaries",366771,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"37","Bahawalpur","Amount Deposited In Accounts",4401.252,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"38","Bahawalpur","No Of Beneficiaries Paid",333235,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"39","Bahawalpur","Amount Withdrawn",4017.30975,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"40","Bahawalpur","Share Of Actual To Eligible Beneficiaries",90.8564199459608,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"41","Bahawalpur","Eligible Beneficiaries Relative To District Population",47.99481779785,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"42","Bahawalpur","Actual Beneficiaries Relative To District Population",43.6063732107134,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"43","Bajaur Agency","No Of Eligible Beneficiaries",107291,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"44","Bajaur Agency","Amount Deposited In Accounts",1287.492,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"45","Bajaur Agency","No Of Beneficiaries Paid",96200,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"46","Bajaur Agency","Amount Withdrawn",1164.9,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"47","Bajaur Agency","Share Of Actual To Eligible Beneficiaries",89.6626930497432,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"48","Bajaur Agency","Eligible Beneficiaries Relative To District Population",66.8592943721725,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"49","Bajaur Agency","Actual Beneficiaries Relative To District Population",59.9478438881453,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"50","Bannu","No Of Eligible Beneficiaries",84487,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"51","Bannu","Amount Deposited In Accounts",1013.844,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"52","Bannu","No Of Beneficiaries Paid",75264,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"53","Bannu","Amount Withdrawn",910.819,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"54","Bannu","Share Of Actual To Eligible Beneficiaries",89.0835276433061,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"55","Bannu","Eligible Beneficiaries Relative To District Population",51.9745479319535,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"56","Bannu","Actual Beneficiaries Relative To District Population",46.3007607744451,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"57","Barkhan","No Of Eligible Beneficiaries",21256,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"58","Barkhan","Amount Deposited In Accounts",255.072,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"59","Barkhan","No Of Beneficiaries Paid",19399,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"60","Barkhan","Amount Withdrawn",235.555,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"61","Barkhan","Share Of Actual To Eligible Beneficiaries",91.263643206624,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"62","Barkhan","Eligible Beneficiaries Relative To District Population",62.4271590666043,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"63","Barkhan","Actual Beneficiaries Relative To District Population",56.9732997145774,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"64","Batagram","No Of Eligible Beneficiaries",47782,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"65","Batagram","Amount Deposited In Accounts",573.384,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"66","Batagram","No Of Beneficiaries Paid",40213,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"67","Batagram","Amount Withdrawn",487.168,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"68","Batagram","Share Of Actual To Eligible Beneficiaries",84.1593068519526,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"69","Batagram","Eligible Beneficiaries Relative To District Population",53.05721308261,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"70","Batagram","Actual Beneficiaries Relative To District Population",44.6525827652881,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"71","Bhakkar","No Of Eligible Beneficiaries",156415,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"72","Bhakkar","Amount Deposited In Accounts",1876.98,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"73","Bhakkar","No Of Beneficiaries Paid",133328,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"74","Bhakkar","Amount Withdrawn",1610.951,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"75","Bhakkar","Share Of Actual To Eligible Beneficiaries",85.2399066585686,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"76","Bhakkar","Eligible Beneficiaries Relative To District Population",44.613490223404,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"77","Bhakkar","Actual Beneficiaries Relative To District Population",38.0284974235592,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"78","Buner","No Of Eligible Beneficiaries",83593,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"79","Buner","Amount Deposited In Accounts",1003.116,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"80","Buner","No Of Beneficiaries Paid",73392,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"81","Buner","Amount Withdrawn",890.431,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"82","Buner","Share Of Actual To Eligible Beneficiaries",87.7968250930102,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"83","Buner","Eligible Beneficiaries Relative To District Population",67.0742048672981,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"84","Buner","Actual Beneficiaries Relative To District Population",58.889022329869,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"85","Chagai","No Of Eligible Beneficiaries",17222,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"86","Chagai","Amount Deposited In Accounts",206.664,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"87","Chagai","No Of Beneficiaries Paid",14764,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"88","Chagai","Amount Withdrawn",178.605,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"89","Chagai","Share Of Actual To Eligible Beneficiaries",85.727557774939,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"90","Chagai","Eligible Beneficiaries Relative To District Population",40.2692094752253,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"91","Chagai","Actual Beneficiaries Relative To District Population",34.521809818385,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"92","Chakwal","No Of Eligible Beneficiaries",91087,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"93","Chakwal","Amount Deposited In Accounts",1093.044,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"94","Chakwal","No Of Beneficiaries Paid",75204,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"95","Chakwal","Amount Withdrawn",915.001,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"96","Chakwal","Share Of Actual To Eligible Beneficiaries",82.562824552351,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"97","Chakwal","Eligible Beneficiaries Relative To District Population",25.9943918114222,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"98","Chakwal","Actual Beneficiaries Relative To District Population",21.4617041047152,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"99","Charsadda","No Of Eligible Beneficiaries",176004,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"100","Charsadda","Amount Deposited In Accounts",2112.048,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"101","Charsadda","No Of Beneficiaries Paid",157464,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"102","Charsadda","Amount Withdrawn",1902.315,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"103","Charsadda","Share Of Actual To Eligible Beneficiaries",89.4661484966251,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"104","Charsadda","Eligible Beneficiaries Relative To District Population",61.1515510873691,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"105","Charsadda","Actual Beneficiaries Relative To District Population",54.7099375038152,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"106","Chiniot","No Of Eligible Beneficiaries",102935,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"107","Chiniot","Amount Deposited In Accounts",1235.22,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"108","Chiniot","No Of Beneficiaries Paid",86778,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"109","Chiniot","Amount Withdrawn",1045.782,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"110","Chiniot","Share Of Actual To Eligible Beneficiaries",84.3036867926361,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"111","Chiniot","Eligible Beneficiaries Relative To District Population",35.8982416997048,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"112","Chiniot","Actual Beneficiaries Relative To District Population",30.2635412465826,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"113","Chitral","No Of Eligible Beneficiaries",48593,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"114","Chitral","Amount Deposited In Accounts",583.116,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"115","Chitral","No Of Beneficiaries Paid",39301,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"116","Chitral","Amount Withdrawn",477.106,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"117","Chitral","Share Of Actual To Eligible Beneficiaries",80.8779042248884,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"118","Chitral","Eligible Beneficiaries Relative To District Population",60.4101014281229,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"119","Chitral","Actual Beneficiaries Relative To District Population",48.8584239751952,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
